"greenhouse","species","plant_no","plant","co2","resprouter","drought_phase","water_potential_mpa","osmotic_potential_mpa","transpiration_mean_g_day","plant_height","vol_swc_cm3_per_cm3","ysoil_kpa","water_potential_midday_kpa","whole_plant_leaf_area_mm2","whole_plant_leaf_area_cm2","leaves_biomass","SLA","percentage_biomass_change_1_2","percentage_biomass_change_2_3","whole_plant_conductance","whole_plant_conductivity","leaf_specific_conductance","leaf_specific_conductivity","leaf_specific_transpiration","root_shoot_ratio","stems_biomass","total_aboveground_biomass","total_belowground_biomass"
"D","CAL","5W","DCAL5W","ambient","R-","2",-1.08,-1.4445486,138.571428571429,,0.15031109301754,-84.0324492325665,-1080,682673.312041579,6826.73312041579,24.8085,,41.1764705882353,,0.139132473206234,7.51315355313664,2.03805349868079e-05,0.00110054888928763,0.020298351514141,,,,
"D","CAL","5W","DCAL5W","ambient","R-","3",-4.64,-3.0301474,46.25,,0.053,-2661.937093,-4640,455115.541361052,4551.15541361052,16.539,,,-33.3333333333333,0.0233814606382485,1.26259887446542,5.13747796182147e-06,0.00027742380993836,0.010162254591809,0.37268754,19.84,36.379,13.558
"D","DPE","1D","DDPE1D","ambient","R+","1",-1.79,-1.6415325,73.3333333333333,40,0.254182619498339,-14.7269834771076,-1790,211640.968207302,2116.40968207302,8.46481690140845,25.002427184466,,,0.0413082002885204,1.65232801154081,1.95180548635834e-05,0.000780722194543337,0.034649876134333,,,,
"D","DPE","1D","DDPE1D","ambient","R+","2",-2.12,-2.1376401,81.1111111111111,,0.14761482288817,-89.2290863129444,-2120,239778.206755094,2397.78206755094,9.59019718309859,,13.2947976878613,,0.0399410443415532,1.59764177366213,1.66574956423577e-05,0.000666299825694308,0.0338275576453689,,,,
"D","DPE","1D","DDPE1D","ambient","R+","3",-5.84,,16.6666666666667,,0.059,-1865.51127,-5840,173716.86407767,1737.1686407767,6.948,,,-27.5510204081633,0.00419341147978715,0.167736459191486,2.41393459526892e-06,9.65573838107566e-05,0.00959415584385342,0.244641588,36.675,43.623,10.672
"D","DPE","1W","DDPE1W","ambient","R+","1",-1.95,-1.6512601,73.3333333333333,45,0.272370695604863,-11.7115839600338,-1950,174038.79858897,1740.3879858897,7.56893181818182,22.9938388625592,,,0.0378340667603831,1.70253300421724,2.17388691872876e-05,0.00097824911342794,0.0421361983235276,,,,
"D","DPE","1W","DDPE1W","ambient","R+","2",-2,-1.7339447,144.444444444444,,0.17427747526588,-51.4585470644307,-2000,235794.501314089,2357.94501314089,10.2546818181818,,35.4838709677419,,0.0741295209433867,3.3358284424524,3.14381889867071e-05,0.00141471850440182,0.0612586144458212,,,,
"D","DPE","1W","DDPE1W","ambient","R+","3",-2.5,-2.1279125,115.555555555556,,0.081,-652.4458276,-2500,247022.810900474,2470.22810900474,10.743,,,4.76190476190476,0.0625451514666264,2.81453181599819,2.53195853608135e-05,0.00113938134123661,0.0467793055768089,0.285600735,29.516,40.259,11.498
"D","DPE","2W","DDPE2W","ambient","R+","1",-1.58,-1.5758712,70.8333333333333,35,0.255796735719218,-14.4211660418806,-1580,143279.596148294,1432.79596148294,9.08944554455446,15.7632933104631,,,0.0452441817664662,1.58354636182632,3.15775469660304e-05,0.00110521414381106,0.0494371391583356,,,,
"D","DPE","2W","DDPE2W","ambient","R+","2",-1.89,-1.6634196,125.555555555556,,0.145839108600574,-92.8816628519373,-1890,149695.100453442,1496.95100453442,9.49643564356436,,4.47761194029849,,0.0698649348572148,2.44527272000252,4.66714906804477e-05,0.00163350217381567,0.0838741917238675,,,,
"D","DPE","2W","DDPE2W","ambient","R+","3",-7.19,,26.6666666666667,,0.056,-2217.833741,-7190,107994.322469983,1079.94322469983,6.851,,,-27.8571428571429,0.0053631888552395,0.187711609933382,4.96617667723246e-06,0.000173816183703136,0.0246926561107679,0.31718695,27.233,34.084,10.811
