"plant","species","co2","greenhouse","plant_no","resprouter","SLA","total_aboveground_biomass","total_belowground_biomass","root_shoot_ratio","leaves_biomass","stems_biomass","total_aboveground_biomass_log","total_belowground_biomass_log","root_shoot_ratio_log","leaves_biomass_log","stems_biomass_log","percentage_biomass_change_1_2","percentage_biomass_change_2_3"
"DSRO1W","SRO","ambient","D","1W","R-",11.434387966805,35.688,6.176,0.173055369,16.67,19.018,3.57481449782596,1.82067081272248,-1.75414368366696,2.8136106967627,2.94538589911725,-8.92857142857143,-7.84313725490195
"DSRO2D","SRO","ambient","D","2D","R-",13.5614623807842,34.656,9.596,0.27689289,16.16,18.496,3.54547087081858,2.26134634497745,-1.28412452627465,2.78253905309295,2.91755449248997,-21.4876033057851,34.7368421052632
"DSRO2W","SRO","ambient","D","2W","R-",16.1013448607109,39.402,6.477,0.164382519,21.992,17.41,3.67381657643689,1.86825744020078,-1.80555913413051,3.09067875086294,2.8570447537801,1.05263157894736,-8.33333333333333
"DSRO3W","SRO","ambient","D","3W","R-",12.7470832509393,43.577,8.548,0.196158524,22.424,21.153,3.77452948823003,2.1456973374569,-1.62883215073242,3.11013181386249,3.05178173940501,11.5942028985507,-5.1948051948052
"DSRO4W","SRO","ambient","D","4W","R-",12.7737843551797,25.258,4.546,0.17998258,10.579,14.679,3.22914293722398,1.51424772543035,-1.71489521055298,2.35887090400464,2.6864179009751,29.8701298701299,-71
"EACY1W","ACY","ambient","E","1W","R+",22.9183244779439,53.27,19.616,0.368237282,10.938,42.332,3.97537332092891,2.9763455597538,-0.999027760556224,2.39224296492458,3.74554330123148,38.1818181818182,-57.8947368421053
"EACY2W","ACY","ambient","E","2W","R+",21.7712067209776,49.45,20.738,0.419373104,6.113,43.337,3.90096205806872,3.03196776613609,-0.868994292279823,1.81041765104659,3.76900677359241,-12.1212121212121,-93.1034482758621
"EACY3W","ACY","ambient","E","3W","R+",29.2483671988389,73.278,23.434,0.319795846,10.77,62.508,4.29426042741701,3.15418795924596,-1.140072468035,2.3767644911683,4.13529454855106,10.8695652173913,-62.7450980392157
"EACY5W","ACY","ambient","E","5W","R+",22.0807174887892,47.176,20.156,0.427251145,13.103,34.073,3.8538852886982,3.00350201081835,-0.850383277060244,2.57284121162245,3.52850528180281,40.3846153846154,-30.1369863013699
"ECAL1W","CAL","ambient","E","1W","R-",16.3350969409737,69.405,18.482,0.266292054,30.545,38.86,4.23995891102707,2.91679728546585,-1.3231616251354,3.41920100610173,3.65996544394929,16.6666666666667,-28.5714285714286
"ECAL3W","CAL","ambient","E","3W","R-",15.8024319629415,45.93,11.366,0.247463531,23.763,22.167,3.8271184983377,2.43062644287493,-1.39649205732534,3.16812974915025,3.09860469647462,94.4444444444445,-31.4285714285714
"ECAL4W","CAL","ambient","E","4W","R-",27.4872560576293,48.262,10.687,0.221437156,21.037,27.225,3.87664450152633,2.36902804954276,-1.5076164498434,3.04628279215189,3.30413566881902,126.666666666667,-32.3529411764706
"ECAL5W","CAL","ambient","E","5W","R-",23.9892173189009,118.78,26.318,0.221569288,63.288,55.492,4.77727304258771,3.27025311572795,-1.50701992577154,4.1476957377191,4.01623886621848,128.571428571429,12.5
"EDPE1W","DPE","ambient","E","1W","R+",25.0443786982249,22.238,10.293,0.462856372,4.35,17.888,3.10180253728106,2.33146405254442,-0.770338484684561,1.47017584510059,2.88413009697269,41.5094339622641,-16
"EDPE2W","DPE","ambient","E","2W","R+",27.7269155206287,30.614,9.02,0.294636441,5.273,25.341,3.42145742066952,2.19944433407453,-1.22201308606571,1.66259946054833,3.23242363741347,31.9327731092437,-12.7388535031847
"EDPE3W","DPE","ambient","E","3W","R+",22.02,24.559,9.918,0.403843805,4.576,19.983,3.20107838583762,2.29435128806694,-0.906727097065395,1.5208252540775,2.99488191209915,33.3333333333333,-10
"EDPE4W","DPE","ambient","E","4W","R+",20.683615819209,46.274,15.918,0.343994468,10.183,36.091,3.83458024828549,2.76745054438366,-1.06712970313339,2.32071966318953,3.58604352677734,3.96039603960395,20.952380952381
"EDPE5W","DPE","ambient","E","5W","R+",14.3472222222222,53.17,15.434,0.290276472,7.605,45.565,3.97349432751625,2.73657286803541,-1.23692145842861,2.02880592571126,3.81913987794809,38.0165289256199,-3.5928143712575
"ELST1D","LST","ambient","E","1D","R-",21.6599229287091,26.932,8.634,0.320585177,11.103,15.829,3.29331517068303,2.15570789713329,-1.13760727505959,2.40721534207213,2.7618437007036,-26.8292682926829,0
"ELST1W","LST","ambient","E","1W","R-",21.7549171270718,30.798,9.575,0.310896811,12.643,18.155,3.42744975280622,2.25915553506671,-1.1682942192875,2.53710370232976,2.8989460048663,206.25,-34.6938775510204
"ELST4W","LST","ambient","E","4W","R-",21.3364717542121,36.905,11.468,0.310743802,17.371,19.534,3.60834704322202,2.43956054802112,-1.16878649408387,2.85480214911979,2.97215653702529,140.909090909091,-3.77358490566039
"ESRO1W","SRO","ambient","E","1W","R-",14.6600294985251,23.176,7.009,0.302424922,11.474,11.702,3.14311726046705,1.94719503751819,-1.19592222405144,2.44008360617968,2.45975976736604,40.7407407407407,-31.578947368421
"ESRO2W","SRO","ambient","E","2W","R-",13.4471253274507,35.501,6.574,0.185177882,17.919,17.582,3.56956086509872,1.88312247524203,-1.6864383915479,2.88586160241828,2.86687565142899,3.92156862745097,0
