greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,number_scanned_leaves_area,number_scanned_leaves_DW,stem_dry_weight,scanned_leaves_dry_weight,marked_stem_dry_weight,marked_leaves_dry_weight
F,CAL,1W,FCAL1W,11/4/20,3,15,80,ambient,R-,,,,,0.2755,0.79985
F,CAL,2W,FCAL2W,11/4/20,3,15,80,ambient,R-,,,,,0.37169,1.51863
F,CAL,3W,FCAL3W,11/4/20,3,15,80,ambient,R-,,,,,0.1164,0.39533
F,CAL,4W,FCAL4W,11/4/20,3,15,80,ambient,R-,,,,,0.07569,0.15998
F,CAL,1D,FCAL1D,11/4/20,3,15,80,ambient,R-,,,,,0.266118,0.94293
F,ROF,1W,FROF1W,16/04/2020,3,20,85,ambient,R-,,,,,0.17833,0.65666
F,ROF,2W,FROF2W,16/04/2020,3,20,85,ambient,R-,,,,,0.09469,0.27833
F,ROF,3W,FROF3W,16/04/2020,3,20,85,ambient,R-,,,,,0.07904,0.34702
F,ROF,4W,FROF4W,16/04/2020,3,20,85,ambient,R-,,,,,0.15537,0.35761
F,ROF,5W,FROF5W,16/04/2020,3,20,85,ambient,R-,,,,,0.14851,0.29504
F,LST,1D,FLST1D,13/04/2020,3,17,82,ambient,R-,,,,,0.07326,0.11117
F,LST,2DG,FLST2DG,13/04/2020,3,17,82,ambient,R-,,,,,0.13911,0.35739
F,LST,5D,FLST5D,13/04/2020,3,17,82,ambient,R-,,,,,0.06758,0.23237
F,LST,4D,FLST4D,13/04/2020,3,17,82,ambient,R-,,,,,0.06187,0.11597
F,DPE,1W,FDPE1W,12/4/20,3,16,81,ambient,R+,,,,,0.03821,0.0995
F,DPE,3W,FDPE3W,12/4/20,3,16,81,ambient,R+,,,,,0.11669,0.04243
F,DPE,1D,FDPE1D,12/4/20,3,16,81,ambient,R+,,,,,0.10778,0.08579
F,DPE,3D,FDPE3D,12/4/20,3,16,81,ambient,R+,,,,,0.04731,0.03611
