greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
C,LST,4W,CLST4W,11/2/20,1,16,20,elevated,R-,48,21,5,26,
C,LST,1D,CLST1D,11/2/20,1,16,20,elevated,R-,43,28,10,38,
C,DPE,1W,CDPE1W,10/2/20,1,15,19,elevated,R+,35,52,0,52,
C,DPE,2W,CDPE2W,10/2/20,1,15,19,elevated,R+,35,85,0,85,
C,DPE,3W,CDPE3W,10/2/20,1,15,19,elevated,R+,33,57,0,57,
C,DPE,2D,CDPE2D,10/2/20,1,15,19,elevated,R+,30,80,0,80,
D,ACY,1W,DACY1W,14/02/2020,1,19,23,ambient,R+,58,41,52,93,
D,ACY,2W,DACY2W,14/02/2020,1,19,23,ambient,R+,46,9,13,22,
D,ACY,3W,DACY3W,14/02/2020,1,19,23,ambient,R+,60,22,48,70,
D,ACY,4W,DACY4W,14/02/2020,1,19,23,ambient,R+,70,16,56,72,
D,ACY,5W,DACY5W,14/02/2020,1,19,23,ambient,R+,43,16,17,33,
D,CAL,2W,DCAL2W,13/02/2020,1,18,22,ambient,R-,52,14,0,14,
D,CAL,3W,DCAL3W,13/02/2020,1,18,22,ambient,R-,54,8,2,10,
D,CAL,4W,DCAL4W,13/02/2020,1,18,22,ambient,R-,58,14,4,18,
D,CAL,5W,DCAL5W,13/02/2020,1,18,22,ambient,R-,54,13,4,17,
D,CAL,3D,DCAL3D,13/02/2020,1,18,22,ambient,R-,40,10,2,12,
D,ROF,1W,DROF1W,12/2/20,1,17,21,ambient,R-,54,33,23,56,
D,ROF,2W,DROF2W,12/2/20,1,17,21,ambient,R-,41,29,66,95,
D,ROF,3W,DROF3W,12/2/20,1,17,21,ambient,R-,36,44,25,69,
D,ROF,4W,DROF4W,12/2/20,1,17,21,ambient,R-,50,30,47,77,
D,ROF,2D,DROF2D,12/2/20,1,17,21,ambient,R-,53,41,80,121,
D,LST,1W,DLST1W,11/2/20,1,16,20,ambient,R-,22,26,6,32,
D,LST,2W,DLST2W,11/2/20,1,16,20,ambient,R-,50,60,15,75,
D,LST,3D,DLST3D,11/2/20,1,16,20,ambient,R-,36,28,36,64,
D,LST,4D,DLST4D,11/2/20,1,16,20,ambient,R-,34,34,46,80,
D,LST,2D,DLST2D,11/2/20,1,16,20,ambient,R-,38,31,45,76,
D,DPE,1W,DDPE1W,10/2/20,1,15,19,ambient,R+,45,62,0,62,
D,DPE,2W,DDPE2W,10/2/20,1,15,19,ambient,R+,35,134,0,134,
D,DPE,3W,DDPE3W,10/2/20,1,15,19,ambient,R+,40,101,0,101,
