greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
B,CAL,4W,BCAL4W,12/03/2020,2,18,50,elevated,R-,15.1,-1.51,730,-1.775287,
B,CAL,5W,BCAL5W,12/03/2020,2,18,50,elevated,R-,19.1,-1.91,635,-1.5442565,
B,CAL,6W,BCAL6W,12/03/2020,2,18,50,elevated,R-,15.2,-1.52,610,-1.483459,
B,ROF,1W,BROF1W,10/03/2020,2,16,48,elevated,R-,15.3,-1.53,632,-1.5369608,
B,ROF,2W,BROF2W,10/03/2020,2,16,48,elevated,R-,12.2,-1.22,568,-1.3813192,
B,ROF,3W,BROF3W,10/03/2020,2,16,48,elevated,R-,12.4,-1.24,559,-1.3594321,
B,LST,1W,BLST1W,13/03/2020,2,19,51,elevated,R-,22.8,-2.28,804,-1.9552476,
B,LST,2W,BLST2W,13/03/2020,2,19,51,elevated,R-,17.5,-1.75,755,-1.8360845,
B,LST,4W,BLST4W,13/03/2020,2,19,51,elevated,R-,20.7,-2.07,696,-1.6926024,
B,LST,1D,BLST1D,13/03/2020,2,19,51,elevated,R-,17.8,-1.78,747,-1.8166293,
B,DPE,1W,BDPE1W,11/03/2020,2,13,49,elevated,R+,21,-2.1,749,-1.8214931,
B,DPE,2W,BDPE2W,11/03/2020,2,13,49,elevated,R+,20.6,-2.06,655,-1.5928945,
B,DPE,3W,BDPE3W,11/03/2020,2,13,49,elevated,R+,18,-1.8,610,-1.483459,
B,DPE,4W,BDPE4W,11/03/2020,2,13,49,elevated,R+,17.7,-1.77,737,-1.7923103,
B,DPE,3D,BDPE3D,11/03/2020,2,13,49,elevated,R+,24.1,-2.41,919,-2.2349161,
B,DPE,4D,BDPE4D,11/03/2020,2,13,49,elevated,R+,22.7,-2.27,753,-1.8312207,
C,ACY,1W,CACY1W,09/03/2020,2,15,47,elevated,R+,24.2,-2.42,631,-1.5345289,
C,ACY,2W,CACY2W,09/03/2020,2,15,47,elevated,R+,24.1,-2.41,821,-1.9965899,
C,ACY,4W,CACY4W,09/03/2020,2,15,47,elevated,R+,18,-1.8,786,-1.9114734,
